token,語意名,light_hex,dark_hex,用途,使用中,出現位置
--ui-bg,頁面底,#F7F9FA,#0D151D,頁面底（= mist-50 / mist-950）,是,"layouts/default.vue, layouts/member.vue, ChatPanel.vue"
--ui-bg-muted,次底,#F1F4F7,#131F29,hover、AI 泡泡、nav 選中（= mist-100 / mist-900）,是,"ChatPanel、app-chip hover、app-nav-active、app-plan-visual"
--ui-bg-elevated,浮層底,#FFFFFF,#182734,卡片、header、input、user 泡泡、主按鈕字色（色階外）,是,幾乎所有 card 與 header
--ui-bg-accented,強調底,#DDE4EA,#213548,夜間 segmented 選中底（= mist-200 / mist-800）,是,.dark .app-locale-btn-active
--ui-border,邊線,#DDE4EA,#213548,分隔線、卡片邊、健康環 track（= mist-200 / mist-800）,是,layouts、卡片、login input
--ui-text,正文,#42698E,#F7F9FA,正文（= mist-600 / mist-50；與 highlighted 同色）,是,layouts text-default
--ui-text-highlighted,標題／強調字,#42698E,#F7F9FA,標題與強調字（= mist-600 / mist-50）,是,幾乎每頁標題
--ui-text-muted,說明字,#7490AC,#9FB3C5,說明文字、ghost 按鈕（= mist-500 / mist-400）,是,footer、hero、說明
--ui-text-toned,次級字,#7490AC,#9FB3C5,與 muted 同色,否,僅定義未單獨使用
--ui-text-dimmed,輔助字,#9FB3C5,#7490AC,更淡輔助字（= mist-400 / mist-500）,是,健康頁副標、方案說明
--ui-primary,主色,#0784B1,#5CAECC,CTA、連結、focus ring、健康環（= brand-600 / brand-400）,是,按鈕、badge、首頁強調
--ui-success,成功,#009B8E,#58BDB5,指標正常（= forest-600 / forest-400）,是,HealthMarkerAccordion text-success
--ui-warning,警告,#C79B54,#DABD8F,指標偏低（= sand-600 / sand-400）,是,HealthMarkerAccordion text-warning
--ui-error,錯誤,#A83C47,#C67F86,登入錯誤、指標偏高（= coral-600 / coral-400）,是,"login.vue text-error, HealthMarkerAccordion"
--ui-info,資訊,#629DE0,#98BFEB,資訊／公告（= lagoon-600 / lagoon-400）,是,.app-plan-visual 另用 info-500
--color-brand-50,primary 50,#F0F7FA,#F0F7FA,Nuxt UI primary 色階,否,色階保留
--color-brand-100,primary 100,#DAEDF3,#DAEDF3,Nuxt UI primary 色階,否,色階保留
--color-brand-200,primary 200,#B6DBE8,#B6DBE8,Nuxt UI primary 色階,否,色階保留
--color-brand-300,primary 300,#8EC7DC,#8EC7DC,夜間主按鈕 hover；日間 disabled 底,是,".dark .app-btn-primary:hover, .app-btn-primary:disabled"
--color-brand-400,primary 400,#5CAECC,#5CAECC,夜間 --ui-primary,是,.dark --ui-primary
--color-brand-500,primary 500,#2894BB,#2894BB,夜間 disabled 底,是,.dark .app-btn-primary:disabled
--color-brand-600,primary 600,#0784B1,#0784B1,日間 --ui-primary,是,:root --ui-primary
--color-brand-700,primary 700,#056487,#056487,日間主按鈕 hover,是,.app-btn-primary:hover
--color-brand-800,primary 800,#044860,#044860,Nuxt UI primary 色階,否,色階保留
--color-brand-900,primary 900,#033142,#033142,Nuxt UI primary 色階,否,色階保留
--color-brand-950,primary 950,#022430,#022430,Nuxt UI primary 色階,否,色階保留
--color-mist-50,neutral 50,#F7F9FA,#F7F9FA,日間頁面底；夜間正文,是,:root --ui-bg / .dark --ui-text
--color-mist-100,neutral 100,#F1F4F7,#F1F4F7,日間次底,是,:root --ui-bg-muted
--color-mist-200,neutral 200,#DDE4EA,#DDE4EA,日間邊線與 accented,是,:root --ui-border / --ui-bg-accented
--color-mist-300,neutral 300,#C2CFDB,#C2CFDB,Nuxt UI neutral 色階,否,色階保留
--color-mist-400,neutral 400,#9FB3C5,#9FB3C5,日間 dimmed 字；夜間 muted 字,是,:root --ui-text-dimmed / .dark --ui-text-muted
--color-mist-500,neutral 500,#7490AC,#7490AC,日間 muted 字；夜間 dimmed 字,是,:root --ui-text-muted / .dark --ui-text-dimmed
--color-mist-600,neutral 600,#42698E,#42698E,日間正文,是,:root --ui-text
--color-mist-700,neutral 700,#324F6B,#324F6B,Nuxt UI neutral 色階,否,色階保留
--color-mist-800,neutral 800,#213548,#213548,夜間邊線與 accented,是,.dark --ui-border / --ui-bg-accented
--color-mist-900,neutral 900,#131F29,#131F29,夜間次底,是,.dark --ui-bg-muted
--color-mist-950,neutral 950,#0D151D,#0D151D,夜間頁面底,是,.dark --ui-bg
--color-forest-50,success 50,#EFF9F8,#EFF9F8,Nuxt UI success 色階,否,色階保留
--color-forest-100,success 100,#D9F0EE,#D9F0EE,Nuxt UI success 色階,否,色階保留
--color-forest-200,success 200,#B4E2DE,#B4E2DE,Nuxt UI success 色階,否,色階保留
--color-forest-300,success 300,#8BD2CC,#8BD2CC,Nuxt UI success 色階,否,色階保留
--color-forest-400,success 400,#58BDB5,#58BDB5,夜間 --ui-success,是,.dark --ui-success
--color-forest-500,success 500,#22A89D,#22A89D,未上線 started badge 底,否,.app-badge-started（未接畫面）
--color-forest-600,success 600,#009B8E,#009B8E,日間 --ui-success,是,:root --ui-success
--color-forest-700,success 700,#00766C,#00766C,未上線 started badge 字,否,.app-badge-started（未接畫面）
--color-forest-800,success 800,#00544D,#00544D,Nuxt UI success 色階,否,色階保留
--color-forest-900,success 900,#003A35,#003A35,Nuxt UI success 色階,否,色階保留
--color-forest-950,success 950,#002A26,#002A26,Nuxt UI success 色階,否,色階保留
--color-sand-50,warning 50,#FCF9F5,#FCF9F5,Nuxt UI warning 色階,否,色階保留
--color-sand-100,warning 100,#F7F0E6,#F7F0E6,Nuxt UI warning 色階,否,色階保留
--color-sand-200,warning 200,#EFE2CD,#EFE2CD,Nuxt UI warning 色階,否,色階保留
--color-sand-300,warning 300,#E6D2B1,#E6D2B1,Nuxt UI warning 色階,否,色階保留
--color-sand-400,warning 400,#DABD8F,#DABD8F,夜間 --ui-warning,是,.dark --ui-warning
--color-sand-500,warning 500,#CFA86B,#CFA86B,Nuxt UI warning 色階,否,色階保留
--color-sand-600,warning 600,#C79B54,#C79B54,日間 --ui-warning,是,:root --ui-warning
--color-sand-700,warning 700,#977640,#977640,Nuxt UI warning 色階,否,色階保留
--color-sand-800,warning 800,#6C542E,#6C542E,Nuxt UI warning 色階,否,色階保留
--color-sand-900,warning 900,#4A3A1F,#4A3A1F,Nuxt UI warning 色階,否,色階保留
--color-sand-950,warning 950,#362A17,#362A17,Nuxt UI warning 色階,否,色階保留
--color-coral-50,error 50,#FAF3F4,#FAF3F4,Nuxt UI error 色階,否,色階保留
--color-coral-100,error 100,#F2E2E4,#F2E2E4,Nuxt UI error 色階,否,色階保留
--color-coral-200,error 200,#E6C6C9,#E6C6C9,Nuxt UI error 色階,否,色階保留
--color-coral-300,error 300,#D7A6AB,#D7A6AB,Nuxt UI error 色階,否,色階保留
--color-coral-400,error 400,#C67F86,#C67F86,夜間 --ui-error,是,.dark --ui-error
--color-coral-500,error 500,#B45660,#B45660,Nuxt UI error 色階,否,色階保留
--color-coral-600,error 600,#A83C47,#A83C47,日間 --ui-error,是,:root --ui-error
--color-coral-700,error 700,#802E36,#802E36,Nuxt UI error 色階,否,色階保留
--color-coral-800,error 800,#5B2126,#5B2126,Nuxt UI error 色階,否,色階保留
--color-coral-900,error 900,#3F161B,#3F161B,Nuxt UI error 色階,否,色階保留
--color-coral-950,error 950,#2D1013,#2D1013,Nuxt UI error 色階,否,色階保留
--color-lagoon-50,info 50,#F5F9FD,#F5F9FD,Nuxt UI info 色階,否,色階保留
--color-lagoon-100,info 100,#E8F0FA,#E8F0FA,Nuxt UI info 色階,否,色階保留
--color-lagoon-200,info 200,#D1E2F6,#D1E2F6,Nuxt UI info 色階,否,色階保留
--color-lagoon-300,info 300,#B8D2F1,#B8D2F1,Nuxt UI info 色階,否,色階保留
--color-lagoon-400,info 400,#98BFEB,#98BFEB,夜間 --ui-info,是,.dark --ui-info
--color-lagoon-500,info 500,#77AAE4,#77AAE4,方案視覺區 radial,是,.app-plan-visual
--color-lagoon-600,info 600,#629DE0,#629DE0,日間 --ui-info,是,:root --ui-info
--color-lagoon-700,info 700,#4B77AA,#4B77AA,Nuxt UI info 色階,否,色階保留
--color-lagoon-800,info 800,#355579,#355579,Nuxt UI info 色階,否,色階保留
--color-lagoon-900,info 900,#253B54,#253B54,Nuxt UI info 色階,否,色階保留
--color-lagoon-950,info 950,#1A2A3C,#1A2A3C,Nuxt UI info 色階,否,色階保留
--color-chart-primary,圖表-營養,#0784B1,#0784B1,營養系統、趨勢線（日間夜間同色）,是,"health-demo.ts, HealthTrendChart.vue"
--color-chart-amber,圖表-代謝,#D9A441,#D9A441,代謝系統（日間夜間同色）,是,health-demo.ts
--color-chart-blue,圖表-心血管,#5B9BD5,#5B9BD5,心血管系統（日間夜間同色）,是,health-demo.ts
--color-chart-teal,圖表-解毒,#3BB8AA,#3BB8AA,解毒系統（日間夜間同色）,是,health-demo.ts
--color-chart-purple,圖表-內分泌,#8B7FC7,#8B7FC7,內分泌系統（日間夜間同色）,是,health-demo.ts
--color-chart-rose,圖表-免疫,#D86B78,#D86B78,免疫系統（日間夜間同色）,是,health-demo.ts
--color-chart-baseline,圖表-基準線,#A6B8B5,#A6B8B5,圖表基準線（已定義未接）,否,僅 @theme 定義
